username,author_id,tweet_id,tweet_link,view_count,retweet_count,reply_count,like_count,quote_count,followers
JesseLingard,755703497195225088,1439615667339157509,https://twitter.com/755703497195225088/status/1439615667339157509,0,14428,2288,172536,835,2764525
JesseLingard,755703497195225088,1438185739422928896,https://twitter.com/755703497195225088/status/1438185739422928896,0,11409,9517,162840,3542,2764525
JesseLingard,755703497195225088,1437512958238732293,https://twitter.com/755703497195225088/status/1437512958238732293,0,4314,1421,98256,595,2764525
JesseLingard,755703497195225088,1437102108122263552,https://twitter.com/755703497195225088/status/1437102108122263552,0,5258,0,0,0,2764525
JesseLingard,755703497195225088,1436752110327148551,https://twitter.com/755703497195225088/status/1436752110327148551,0,59956,2457,470803,3085,2764525
JesseLingard,755703497195225088,1436726176865718274,https://twitter.com/755703497195225088/status/1436726176865718274,0,8020,1120,114167,424,2764525
JesseLingard,755703497195225088,1435288503252922372,https://twitter.com/755703497195225088/status/1435288503252922372,0,679,174,22886,55,2764525
JesseLingard,755703497195225088,1434636811977076738,https://twitter.com/755703497195225088/status/1434636811977076738,0,1851,0,0,0,2764525
JesseLingard,755703497195225088,1434636605491486722,https://twitter.com/755703497195225088/status/1434636605491486722,0,4475,0,0,0,2764525
JesseLingard,755703497195225088,1434580363699965953,https://twitter.com/755703497195225088/status/1434580363699965953,0,5532,878,80828,364,2764525
JesseLingard,755703497195225088,1434171705812037638,https://twitter.com/755703497195225088/status/1434171705812037638,0,386,67,14402,10,2764525
JesseLingard,755703497195225088,1433140794559541253,https://twitter.com/755703497195225088/status/1433140794559541253,0,557,79,16992,19,2764525
JesseLingard,755703497195225088,1432738137713872913,https://twitter.com/755703497195225088/status/1432738137713872913,0,852,249,27338,43,2764525
JesseLingard,755703497195225088,1432356359886999566,https://twitter.com/755703497195225088/status/1432356359886999566,57890,134,101,2755,32,2764525
JesseLingard,755703497195225088,1431340100735193095,https://twitter.com/755703497195225088/status/1431340100735193095,0,31792,1857,383611,1848,2764525
JesseLingard,755703497195225088,1431334110157488136,https://twitter.com/755703497195225088/status/1431334110157488136,185604,379,165,6944,158,2764525
